,lod,A_J.39,C57BL_6J.39,129S1_SvImJ.39,NOD_ShiLtJ.39,NZO_HlLtJ.39,CAST_EiJ.39,PWK_PhJ.39,WSB_EiJ.39,pred_mean,pearson_corr,spearman_corr
ENSMUSG00000021079,5.08693840701483,-0.046955065181379,0.0043618879172466,0.0261693320887506,0.110214853515162,0.0709402729543758,-0.0965159032151206,-0.0176509775320373,-0.0505644005470014,0.0102751891875,0.379976797609703,0.3333333333333334
ENSMUSG00000026814,1.71635637108812,0.0044999835766592,0.0600089831518957,-0.0414580629379451,0.0924973378058649,-0.0533009429850662,-0.0188739718634778,-0.02625297011231,-0.0171203566356191,80.594634375,0.5671598057096023,0.5952380952380953
ENSMUSG00000023328,51.4088958160982,-0.145216500015843,-0.149268472312909,-0.122818981067427,-0.126065517728418,0.0572688676429607,0.775095698905339,-0.0130657801176506,-0.275929315306049,0.22183879,0.8889292330550053,0.523809523809524
ENSMUSG00000071893,21.9812989647602,0.121879365790809,0.0629027600575025,-0.146839309865986,0.100055268417456,-0.116573272303464,0.0178568956938898,-0.238425876128562,0.199144168338353,0.21624690124999998,-0.21420840546600275,-0.023809523809523815
ENSMUSG00000045349,18.5850268919079,0.387005389859853,-0.0410762791698636,-0.0892778174050761,0.060410910159673,0.0484581922143832,0.0008109227154031,0.0095691560394728,-0.375900474413849,0.36875117375000005,-0.4412038923865456,-0.11904761904761905
ENSMUSG00000028555,76.6481821665256,1.10262017832115,-1.08300696904995,0.906650637496054,-0.853680830538756,-0.883898895900827,-0.519629547027803,-0.961222576653585,2.29216800335372,0.228855195,0.6920761898299039,0.6666666666666669
ENSMUSG00000032773,2.05486056959899,-0.0968905276718655,0.0280885288010682,-0.16442907075453,0.0444593780046088,0.0921824144755918,-0.0149233137460438,-0.0355202365790301,0.147032827470198,0.0090872288125,-0.1380467471170225,-0.07142857142857144
ENSMUSG00000044573,40.749642196413,-0.0327501558511401,0.125071871381079,-0.0383994220245913,-0.101521746637518,-0.0683016608229394,0.155594546655397,0.200332849847248,-0.240026282547532,0.019577609250000003,0.7730700404451208,0.6666666666666669
ENSMUSG00000075025,14.0134191950249,0.29962585051989,0.335544294956374,0.194844830475291,-0.106211718712545,-0.0981986826155925,-0.223626380129833,-0.530731044394747,0.128752849901161,0.031397416125,-0.7538442936318174,-0.8571428571428572
ENSMUSG00000056671,56.2791244221148,0.213457384471857,-1.12659842551267,0.222665916250838,-0.0992155711301894,0.676793994731581,0.532499576242866,-0.242570670150936,-0.177032204903348,0.029557993375000004,-0.375699253590471,-0.5714285714285715
ENSMUSG00000053889,11.0744467998686,-0.0189187452814679,-0.124679240663815,0.0203567705753924,-0.104902185534227,0.185152376268157,-0.12779325629104,0.115920726361903,0.0548635545650997,0.02772777875,-0.5656631840889078,-0.14285714285714288
ENSMUSG00000106139,42.492495240623,0.0377708159016859,0.0797647170039912,0.179892196602791,0.163322597892222,0.071260423165028,-0.311794206031046,-0.397898289803662,0.177681745268992,0.05063842899999999,0.18407698037226322,0.1666666666666667
ENSMUSG00000023176,8.96703722371407,0.086844151296523,0.0822328898676368,-0.0166321099261619,0.10825682771412,-0.0239981953280655,-0.0124262544905154,-0.202065347644124,-0.0222119614894076,0.130596115,-0.5582787147143367,-0.07142857142857144
ENSMUSG00000035790,28.7627214885806,0.0140792765219206,0.0810138128980977,0.053180322601996,-0.196686631019961,0.005946000625773,-0.295727947387357,0.0224459434274404,0.315749222332096,0.7381531375,0.09730222336224265,0.0
ENSMUSG00000032594,3.61152451707666,-0.0251030426314394,0.0616500785222804,-0.0625638016259185,-0.0415345247381413,-0.0012311442736638,0.0347507739748725,0.0267982943892839,0.0072333663827244,10.975298,0.04626481781145392,-0.14285714285714288
ENSMUSG00000087249,9.3209791865022,-0.0688736965402246,0.137892543471621,0.160102695561502,-0.00270428005145,0.0266403729670817,-0.142142347150696,-0.107554700148394,-0.0033605881094382,0.041173769624999995,-0.6780775501877737,-0.5476190476190477
ENSMUSG00000073413,9.46621328942568,-0.0845529819340118,0.0231406875229174,0.0986600612891122,-0.040296324305511,0.118674514695415,0.14663566598046,-0.169859864205534,-0.0924017590428452,0.029917543624999998,0.07946809076532443,-0.04761904761904763
ENSMUSG00000104213,1.53452243048896,-0.0427073698454015,-0.0591910760018983,0.0949347725031195,-0.0002630821867031,-0.140702082033102,0.0605757120358428,0.120628337044026,-0.0332752115158801,0.010232613750000001,0.16530793919671474,0.09523809523809526
ENSMUSG00000037542,39.3725045441241,-0.071314941356821,0.198392808831004,-0.0068392838869453,-0.0128508596025636,0.102142554354474,-0.0334613621411606,-0.297545606093516,0.121476689895534,103.112611875,0.33453513733370627,0.11904761904761905
ENSMUSG00000059363,69.1795772873084,0.184500985913061,0.301947222800923,0.36481031246006,-0.0197112704197302,-0.0061131694443137,-0.414799341330085,-0.241192658268933,-0.169442081710978,0.020352898374999998,-0.7071738136327176,-0.5476190476190477
ENSMUSG00000068587,2.62569246019557,0.0114750029685524,-0.0062301583049162,0.0605158383735986,-0.0185517782334355,-0.010796586749418,0.0855105561108545,-0.0341380945778536,-0.0877847795873841,0.5547508099999999,0.3970290721814636,0.28571428571428575
